conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,z_hitting_stats_hits,z_hitting_stats_runs,z_hitting_stats_runs_batted_in,z_hitting_stats_home_runs,z_hitting_stats_stolen_bases,z_hitting_stats_strikeouts,composite_score,rank,rating
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Pomona-Pitzer,D. Waddell,,,,42,42,150,37,56,42,10,2,16,7,1,3,13,2,5,0,0,2,0,0,0,0,0,2,0,0.407,118,162,5,1.0,0.373,0.787,89,45,2,0,0,15,8,3,0,136,0.985,23,0.652,2,7,29,51,"17,36",0.47,17,36,"31,78",0.4,31,78,"16,45",0.36,16,45,"2,6",0.33,2,6,0,0,0,0,"15,39","7,10","48,82",186,0.0,0,0,"0,1",0.0,0,1,12,24,0,152.0,1.0,22.0,11.0,10.0,2.0,13.0,3.0,0.0,0.0,138.1,78.0,48.0,37.0,48.0,15.0,3.0,2.0,2.43,559.0,630.0,11.0,16.0,0.0,2.0,16.0,0.0,0.0,14.0,0.272,138.0,207.0,0.0,"5,10","3,16","2,15",0.0,"2,13",2.4201481756505303,2.6084207658544485,3.1643500471149304,8.324461218287237,0.5190723837391182,1.4512860578807496,10.086654596347707,1,99
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Redlands,Leila Jackson,,,,54,54,161,42,62,54,16,4,9,16,0,12,13,7,16,0,0,4,0,0,0,0,0,2,0,0.466,113,193,16,1.0,0.385,0.702,357,8,2,0,0,0,0,14,0,367,0.995,0,0.0,4,11,33,55,"23,65",0.35,23,65,"38,105",0.36,38,105,"27,78",0.35,27,78,"2,5",0.4,2,5,0,0,0,0,"14,25","19,26","61,118",84,0.0,0,0,2,0.0,0,0,12,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7684915015386493,3.07105893423602,4.274280273072978,4.543652410784205,2.5478278176205804,1.4512860578807496,9.108734459720353,2,95
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Redlands,Paige Messenlehner,,,,55,55,183,59,69,39,12,5,4,10,0,16,7,4,39,4,0,5,0,0,0,0,0,0,0,0.444,103,214,43,0.907,0.377,0.563,86,2,1,0,0,0,0,0,0,89,0.989,0,0.0,6,6,33,74,"19,51",0.37,19,51,"36,77",0.47,36,77,"24,56",0.43,24,56,"2,5",0.4,2,5,0,0,0,0,"31,81","14,16","59,91",116,0.0,0,0,0,0.0,0,0,13,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1748920484081213,4.644028706733364,2.8868674906254186,1.8430746911391809,6.789770997554546,0.3486117945823211,8.752028430260793,3,93
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,California Lutheran,J. Waters,,,,36,36,89,21,32,35,5,0,11,33,1,1,11,4,0,0,0,1,0,0,0,0,0,0,0,0.532,70,124,0,0.0,0.36,0.787,215,4,5,0,0,0,0,6,0,224,0.978,0,0.0,1,5,14,31,"11,27",0.41,11,27,"24,56",0.43,24,56,"16,39",0.41,16,39,"0,5",0.0,0,5,0,0,0,0,"15,24","8,11","42,69",89,0.0,0,0,2,0.0,0,0,4,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0267748720980547,1.1279786270334193,2.516890748639403,5.623883498642214,-0.40308917711609177,1.0837279701146068,6.176436925147644,4,92
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Pomona-Pitzer,K. Liu,,,,42,42,126,25,53,37,14,0,7,26,0,1,8,2,1,0,0,3,0,0,0,0,0,0,0,0.513,88,156,1,1.0,0.421,0.698,121,42,3,5,0,23,8,2,0,166,0.982,31,0.742,3,6,26,39,"24,53",0.45,24,53,"25,63",0.4,25,63,"19,48",0.4,19,48,"7,9",0.78,7,9,0,0,0,0,"8,19","10,16","42,72",72,0.0,0,0,0,0.0,0,0,11,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.245976512706471,1.4980891617386767,2.701879119632411,3.463421322926195,-0.21865686494504977,0.5323908384653925,5.820268742970542,5,91
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Redlands,Katlyn Gandara,,,,49,48,140,25,48,49,11,0,5,21,1,8,7,3,0,0,0,1,0,0,0,0,0,0,0,0.453,74,170,0,0.0,0.343,0.529,9,39,5,0,0,9,3,3,0,53,0.906,12,0.75,9,3,36,41,"18,50",0.36,18,50,"31,85",0.36,31,85,"27,74",0.36,27,74,"0,1",0.0,0,1,0,0,0,0,"11,20","14,24","57,94",154,0.0,0,0,207,0.0,0,0,11,26,0,134.0,1.0,21.0,17.0,3.0,2.0,16.0,4.0,0.0,0.0,130.1,46.0,36.0,19.0,53.0,18.0,2.0,5.0,1.93,534.0,570.0,4.0,7.0,0.0,4.0,6.0,0.0,0.0,16.0,0.251,146.0,180.0,1.0,"9,31","18,69","5,25",0.0,"10,44",1.955690407799705,1.4980891617386767,3.811809345590458,2.3831902350681857,-0.40308917711609177,0.3486117945823211,5.537319569226007,6,90
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Redlands,Brooklyn Bard,,,,55,55,173,46,58,23,2,2,0,24,0,4,13,4,42,3,3,2,0,0,0,0,0,1,0,0.424,64,206,45,0.933,0.335,0.37,67,2,6,0,0,0,0,0,0,75,0.92,0,0.0,7,5,60,38,"14,45",0.31,14,45,"34,94",0.36,34,94,"30,80",0.38,30,80,"3,5",0.6,3,5,0,0,0,0,"8,28","12,19","57,104",45,0.0,0,0,0,0.0,0,0,18,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5362626176132363,3.4411694689412773,1.406960522681356,-0.3173874845768378,7.3430679340676726,1.4512860578807496,5.432893601193632,7,89
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,La Verne,A. Rodriguez,,,,42,42,122,20,51,42,16,2,5,11,0,6,13,0,5,0,1,3,0,0,0,0,0,2,0,0.479,86,143,5,1.0,0.418,0.705,110,6,4,0,0,0,0,1,0,120,0.967,0,0.0,1,1,29,32,"22,47",0.47,22,47,"36,72",0.5,36,72,"27,54",0.5,27,54,"2,11",0.18,2,11,0,0,0,0,"4,22","15,18","58,85",22,0.0,0,0,0,0.0,0,0,23,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1298620707437643,1.035450993357105,3.1643500471149304,2.3831902350681857,0.5190723837391182,1.4512860578807496,5.124405336151375,8,88
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Pomona-Pitzer,V. Burnham,,,,42,42,134,25,37,24,8,0,6,3,0,4,13,3,2,0,2,1,0,0,0,0,1,1,0,0.31,63,144,2,1.0,0.276,0.47,61,1,2,0,0,0,0,0,0,64,0.969,0,0.0,4,10,29,53,"15,53",0.28,15,53,"24,82",0.29,24,82,"13,46",0.28,13,46,"2,9",0.22,2,9,0,0,0,0,"5,18","4,10","43,89",25,0.0,0,0,0,0.0,0,0,10,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3170609770048205,1.4980891617386767,1.49945470817786,2.9233057789971904,-0.03422455277400775,1.4512860578807496,4.034934543694759,9,87
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Whittier,M. Palos,,,,38,38,117,22,45,34,9,1,3,12,0,4,3,0,0,0,0,6,0,0,0,0,0,3,0,0.439,65,139,0,0.0,0.385,0.556,105,44,3,2,0,3,1,6,0,152,0.98,4,0.75,4,4,22,50,"15,37",0.41,15,37,"28,75",0.37,28,75,"18,46",0.39,18,46,"4,8",0.5,4,8,0,0,0,0,"8,23","13,21","51,90",7,0.0,0,0,0,0.0,0,0,14,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7815187448556458,1.2205062607097337,2.424396563142899,1.3029591472101762,-0.40308917711609177,-0.38650438094996453,3.8801972151853086,10,86
