conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Cooper Mills,,,,44,44,172,56,59,30,8,2,1,33,0,6,22,16,36,4,5,1,0,0,0,1,4,1,0,0.462,74,217,40,.900,.343,.430,73,122,9,0,0,0,0,19,0,204,.956,0,.000,7,7,56,32,"15,44",0.34,15,44,"28,72",0.39,28,72,"24,59",0.41,24,59,"6,14",0.43,6,14,0,0,0,0,"39,81","14,20","59,90",107,0,0,0,0,0,0,0,18,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Robert Newland,,,,44,41,124,26,29,14,5,0,0,15,0,7,23,8,18,1,2,3,0,0,0,4,1,4,0,0.342,34,151,19,.947,.234,.274,58,2,3,0,0,0,0,2,0,63,.952,0,.000,4,5,50,23,"9,35",0.26,9,35,"16,72",0.22,16,72,"10,49",0.20,10,49,"3,10",0.30,3,10,0,0,0,0,"15,33","6,21","37,85",73,0,0,0,0,0,0,0,11,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Ryar Rinehart,,,,44,44,168,39,63,62,12,2,14,21,5,7,33,7,4,1,1,6,0,0,0,1,0,2,0,0.450,121,203,5,.800,.375,.720,306,27,4,0,0,0,0,22,0,337,.988,0,.000,4,1,27,49,"23,52",0.44,23,52,"39,102",0.38,39,102,"21,66",0.32,21,66,"7,15",0.47,7,15,0,0,0,0,"16,34","16,26","68,114",53,0,0,0,0,0,0,0,27,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,David Stechow,,,,42,40,149,35,43,20,3,1,0,12,0,12,27,12,15,2,3,3,0,0,0,4,1,4,0,0.381,48,179,17,.882,.289,.322,61,79,7,0,0,0,0,9,0,147,.952,0,.000,10,10,43,32,"13,50",0.26,13,50,"22,86",0.26,22,86,"16,60",0.27,16,60,"2,15",0.13,2,15,0,0,0,0,"15,38","13,16","51,98",96,0,0,0,2,0,0,0,23,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Tanner Hawkins,,,,43,42,156,29,46,27,8,1,0,18,0,12,12,5,7,2,2,4,0,0,0,3,0,3,0,0.400,56,192,9,.778,.295,.359,54,2,1,0,0,0,0,0,0,57,.982,0,.000,7,6,46,52,"14,57",0.25,14,57,"28,87",0.32,28,87,"17,60",0.28,17,60,"7,14",0.50,7,14,0,0,0,0,"13,38","12,22","56,104",128,0,0,0,"1,1",1.00,1,1,16,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Logan Lockhart,,,,43,40,147,38,48,33,11,0,1,9,0,17,19,7,11,1,3,2,0,0,0,2,1,4,0,0.423,62,178,12,.917,.327,.422,51,8,1,0,0,3,2,1,0,60,.983,5,.600,6,6,41,37,"14,54",0.26,14,54,"29,87",0.33,29,87,"21,70",0.30,21,70,"1,11",0.09,1,11,0,0,0,0,"8,20","16,26","59,101",87,0,0,0,22,0,0,0,18,39,0,50,1,8,5,2,1,0,0,0,0,53.1,23,18,12,41,12,1,4,3.04,202,225,2,5,0,2,3,0,1,9,.248,60,51,0,"1,3","1,5","2,4",0,"1,3"
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Cade Preissing,,,,42,39,130,27,40,27,5,0,1,16,0,9,16,6,9,1,7,2,0,0,0,0,0,2,0,0.414,48,164,10,.900,.308,.369,25,85,12,0,0,0,0,1,0,122,.902,0,.000,2,5,34,47,"10,55",0.18,10,55,"23,71",0.32,23,71,"19,53",0.36,19,53,"2,12",0.17,2,12,0,0,0,0,"12,23","11,14","45,84",154,0,0,0,2,0,0,0,18,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Alex DiDio,,,,25,8,34,5,8,7,3,1,0,5,0,3,13,2,0,0,0,1,0,0,0,0,0,1,0,0.372,13,43,0,.000,.235,.382,2,2,2,0,0,0,0,0,0,6,.667,0,.000,1,1,3,10,"3,11",0.27,3,11,"4,18",0.22,4,18,"3,10",0.30,3,10,"0,3",0,0,3,0,0,0,0,"5,11","5,6","13,24","0,1",0,0,1,100,0,0,0,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Alex Fenkell,,,,25,4,32,10,6,8,0,0,0,2,0,2,5,3,3,0,1,0,0,0,0,2,1,2,0,0.278,6,37,3,1.000,.188,.188,6,9,0,0,0,0,0,1,0,15,1.000,0,.000,3,2,15,4,"3,12",0.25,3,12,"5,23",0.22,5,23,"4,16",0.25,4,16,0,0,0,0,0,0,0,0,"3,6","7,8","13,25",78,0,0,0,204,0,0,0,8,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,baseball,Kalamazoo,Cam Kelly,,,,41,13,59,13,16,9,3,0,0,2,0,7,11,2,9,0,5,1,0,0,0,0,0,0,0,0.362,19,74,9,1.000,.271,.322,31,0,1,0,0,0,0,0,0,32,.969,0,.000,0,3,21,17,"4,23",0.17,4,23,"11,37",0.30,11,37,"5,21",0.24,5,21,"2,3",0.67,2,3,0,0,0,0,"4,13","4,7","20,44",40,0,0,0,48,0,0,0,15,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
