conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
ll,Liberty League (LL),2025-26,baseball,Skidmore,Owen Roy,,,,16,11,37,6,6,2,0,0,0,10,1,1,14,8,0,0,1,0,0,0,0,0,0,0,0,0.354,6,49,0,.000,.162,.162,18,1,0,0,0,0,0,0,0,19,1.000,0,.000,1,0,5,12,"2,10",0.20,2,10,"5,23",0.22,5,23,"1,15",0.07,1,15,"2,8",0.25,2,8,0,0,0,0,"3,7","1,4","13,28",15,0,0,0,0,0,0,0,8,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Andy Pelc,,,,19,15,51,12,19,15,3,0,3,11,0,2,13,6,6,1,0,1,0,0,0,0,0,0,0,0.492,31,65,7,.857,.373,.608,25,0,2,0,0,0,0,0,0,27,.926,0,.000,1,0,4,15,"5,11",0.45,5,11,"11,24",0.46,11,24,"10,19",0.53,10,19,"2,8",0.25,2,8,0,0,0,0,"8,16","6,10","15,27",144,0,0,0,0,0,0,0,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Trey Bourque,,,,40,40,166,45,53,27,12,1,1,22,0,9,6,2,4,0,0,2,0,0,0,3,0,3,0,0.422,70,199,4,1.000,.319,.422,219,50,6,6,0,41,8,6,0,275,.978,49,.837,7,14,40,57,"15,46",0.33,15,46,"29,95",0.31,29,95,"17,56",0.30,17,56,"9,30",0.30,9,30,0,0,0,0,"14,32","11,16","57,110",135,0,0,0,0,0,0,0,8,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Zachary Leiderman,,,,38,38,145,39,52,36,14,0,6,16,0,10,31,11,0,1,0,5,0,0,0,1,0,2,0,0.443,84,176,1,.000,.359,.579,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,4,7,22,41,"19,51",0.37,19,51,"32,92",0.35,32,92,"17,56",0.30,17,56,"6,31",0.19,6,31,0,0,0,0,"11,25","11,15","58,109",90,0,0,0,0,0,0,0,12,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Sam Kornet,,,,40,40,156,40,53,45,11,0,12,29,3,6,32,7,1,0,0,2,0,0,0,2,0,2,0,0.456,100,193,1,1.000,.340,.641,288,15,6,0,0,0,0,19,0,309,.981,0,.000,3,3,14,56,"13,56",0.23,13,56,"31,104",0.30,31,104,"22,70",0.31,22,70,"10,37",0.27,10,37,0,0,0,0,"15,28","11,21","53,117",226,0,0,0,0,0,0,0,9,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Ewen Donald,,,,28,28,122,31,52,35,7,0,2,3,0,4,18,3,3,4,0,0,0,0,0,3,0,5,0,0.457,65,129,7,.429,.426,.533,53,4,3,0,0,0,0,1,0,60,.950,0,.000,0,5,26,25,"17,38",0.45,17,38,"31,75",0.41,31,75,"21,53",0.40,21,53,"9,26",0.35,9,26,0,0,0,0,"13,28","13,17","44,79",621,0,0,0,0,0,0,0,6,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Eddie Galvao,,,,37,33,128,30,42,39,5,3,7,17,0,1,29,11,7,2,1,3,0,0,0,0,0,2,0,0.403,74,150,9,.778,.328,.578,34,58,8,0,0,0,0,5,0,100,.920,0,.000,4,2,16,40,"14,46",0.30,14,46,"26,78",0.33,26,78,"21,58",0.36,21,58,"10,27",0.37,10,27,0,0,0,0,"14,27","11,17","40,86",236,0,0,0,48,0,0,0,13,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Nick Duryea,,,,10,2,12,1,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0.471,3,17,0,.000,.250,.250,3,6,1,0,0,0,0,1,0,10,.900,0,.000,0,0,0,4,"0,2",0,0,2,"1,5",0.20,1,5,"0,2",0,0,2,"1,4",0.25,1,4,0,0,0,0,"1,2",0,"4,8",0,0,0,0,63,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Quinn McDonald,,,,35,27,112,33,33,19,6,2,1,24,0,2,30,13,3,0,0,2,0,0,0,3,1,4,0,0.421,46,140,3,1.000,.295,.411,36,46,5,0,0,0,0,9,0,87,.943,0,.000,2,6,28,21,"7,26",0.27,7,26,"15,60",0.25,15,60,"11,43",0.26,11,43,"8,23",0.35,8,23,0,0,0,0,"24,40","10,18","36,71",156,0,0,0,44,0,0,0,9,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ll,Liberty League (LL),2025-26,baseball,Skidmore,Landon Schwartzman,,,,32,27,91,27,26,20,5,0,3,17,0,5,17,2,3,2,2,1,0,0,0,0,1,1,0,0.421,40,116,5,.600,.286,.440,54,2,1,0,0,0,0,0,0,57,.982,0,.000,5,3,12,32,"9,31",0.29,9,31,"13,48",0.27,13,48,"8,30",0.27,8,30,"8,22",0.36,8,22,0,0,0,0,"11,24","7,11","28,59",16,0,0,0,20,0,0,0,4,24,0,3,1,0,0,0,0,0,0,0,0,1.2,2,2,2,1,2,0,0,10.80,8,11,0,1,2,0,0,0,0,1,.375,2,2,0,"0,1","2,6","1,2",0,"2,4"
