conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,D. Griess,,,,30,30,125,31,46,26,5,3,3,16,2,2,20,5,10,2,1,2,0,0,0,0,0,2,0,0.441,66,146,12,.833,.368,.528,70,0,2,0,0,0,0,0,0,72,.972,0,.000,3,8,33,26,"12,39",0.31,12,39,"29,78",0.37,29,78,"17,45",0.38,17,45,"12,37",0.32,12,37,0,0,0,0,"14,28","11,14","49,88",80,0,0,0,0,0,0,0,11,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,N. Gustkey,,,,27,27,111,35,47,31,10,1,4,16,0,3,12,5,1,0,1,4,0,0,0,3,0,5,0,0.493,71,135,1,1.000,.423,.640,133,16,3,7,0,40,7,1,0,152,.980,47,.851,2,1,24,29,"18,38",0.47,18,38,"27,68",0.40,27,68,"18,47",0.38,18,47,"14,27",0.52,14,27,0,0,0,0,"15,26","12,18","47,81",56,0,0,0,0,0,0,0,16,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,S. Townsend,,,,30,30,116,33,48,33,12,1,2,16,1,3,10,7,5,1,1,4,0,0,0,0,1,0,0,0.482,68,140,6,.833,.414,.586,36,84,9,0,0,0,0,14,0,129,.930,0,.000,6,5,19,39,"15,41",0.37,15,41,"28,66",0.42,28,66,"21,52",0.40,21,52,"8,29",0.28,8,29,0,0,0,0,"10,25","12,16","55,84",269,0,0,0,0,0,0,0,9,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,M. Heverly,,,,9,8,11,1,2,2,0,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,0,1,0,0.231,2,13,0,.000,.182,.182,18,3,0,0,0,6,1,2,0,21,1.000,7,.857,0,0,2,1,"2,6",0.33,2,6,"1,7",0.14,1,7,"1,4",0.25,1,4,0,0,0,0,0,0,0,0,"1,1","1,0","3,8",66,0,0,0,0,0,0,0,3,3,0,23,1,4,0,2,0,0,0,0,0,14.1,27,25,17,18,4,0,0,15.70,63,88,6,6,0,1,1,0,1,6,.365,7,12,2,0,0,"1,3",0,0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,M. Munoz,,,,30,30,116,21,39,29,4,3,1,15,0,0,10,6,3,1,1,2,0,0,0,1,0,4,0,0.406,52,134,4,.750,.336,.448,49,1,0,0,0,0,0,0,0,50,1.000,0,.000,7,4,29,35,"15,39",0.38,15,39,"27,79",0.34,27,79,"21,56",0.38,21,56,"7,27",0.26,7,27,0,0,0,0,"6,16","9,15","47,88",134,0,0,0,0,0,0,0,14,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,K. Cute,,,,8,8,27,5,9,6,3,0,0,1,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0.400,12,30,0,.000,.333,.444,11,1,1,0,0,0,0,0,0,13,.923,0,.000,0,2,7,5,"5,12",0.42,5,12,"6,16",0.38,6,16,"5,11",0.45,5,11,"1,7",0.14,1,7,0,0,0,0,"2,6","0,1","8,18",29,0,0,0,0,0,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,J. Goebel,,,,32,32,116,40,43,31,8,2,3,13,0,9,25,8,2,0,1,3,0,0,0,0,1,4,0,0.461,64,142,2,1.000,.371,.552,33,58,17,0,0,0,0,9,0,108,.843,0,.000,8,5,13,32,"14,31",0.45,14,31,"28,70",0.40,28,70,"19,53",0.36,19,53,"12,28",0.43,12,28,0,0,0,0,"17,30","7,17","42,80",261,0,0,0,0,0,0,0,8,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,B. Shane,,,,32,31,106,28,31,25,10,2,1,16,0,6,29,7,4,1,4,1,0,0,0,2,0,2,0,0.411,48,133,5,.800,.292,.453,240,8,2,0,0,0,0,27,0,250,.992,0,.000,4,5,20,27,"6,44",0.14,6,44,"22,69",0.32,22,69,"16,48",0.33,16,48,"8,29",0.28,8,29,0,0,0,0,"12,22","8,12","38,80",28,0,0,0,"0,1",0,0,1,11,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,J. Augustine,,,,19,19,68,20,19,17,2,1,0,17,0,3,9,3,2,1,0,1,0,0,0,0,0,1,0,0.438,23,89,3,.667,.279,.338,35,40,4,0,0,0,0,12,0,79,.949,0,.000,5,5,25,12,"5,18",0.28,5,18,"14,38",0.37,14,38,"10,26",0.38,10,26,"2,11",0.18,2,11,0,0,0,0,"9,19","9,9","25,41",61,0,0,0,0,0,0,0,3,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,baseball,Penn College,E. Hannevig,,,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,2,8,0,0,0,9,3,0,0,10,1.000,12,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,11,3,3,0,0,0,0,0,49.1,50,42,20,30,10,1,7,7.66,199,235,1,10,0,6,0,0,0,11,.302,58,51,2,"2,4","5,7","4,9",0,"3,6"
