season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Skyline Conference,skyline_conference,Old Westbury,JT Torres,JT,Torres,,524,JT Torres,0,0OLD WEST,10,10,,,30,10,14,9,4,1,1,7,0,4,0,0,7,2,0,0,0,0,0,0,0,0,0,0.610,23,41,9,.778,.467,.767,20,22,1,0,0,4,1,2,0,43,.977,5,.800,,0,1,10,6,"8,12",0.67,8,12,"5,12",0.42,5,12,"4,10",0.40,4,10,"1,7",0.14,1,7,0,0,0,0,"5,6","2,2","12,16",0,0,0,0,0,0,0,0,4,3,0,,Old Westbury,OLD WEST,1328-3578,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,62.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Farmingdale State,Dom Lafroscia,Dom,Lafroscia,,27892,Dom Lafroscia,0,0FSCBB,10,10,,,35,10,14,8,5,0,0,5,0,0,3,1,0,1,0,1,0,0,0,1,0,1,0,0.463,19,41,1,.000,.400,.543,41,9,1,0,0,0,0,2,0,51,.980,0,.000,,0,1,7,12,"3,10",0.30,3,10,"10,24",0.42,10,24,"5,13",0.38,5,13,"0,1",0,0,1,0,0,0,0,"2,5","2,5","13,26",1,0,0,0,0,0,0,0,2,10,0,,Farmingdale State,FSCBB,1330-3789,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,61.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Purchase,Frank Rega,Frank,Rega,,30029,Frank Rega,0,0PURCHASE,14,13,,,44,11,19,7,5,0,0,7,0,3,5,0,1,0,0,0,0,0,0,1,0,2,0,0.537,24,54,1,1.000,.432,.545,38,2,0,1,0,15,0,0,0,40,1.000,15,1.000,,1,1,8,9,"5,13",0.38,5,13,"9,24",0.38,9,24,"7,15",0.47,7,15,"0,4",0,0,4,0,0,0,0,"6,8","1,4","16,26","1,1",1.00,1,1,0,0,0,0,3,6,0,,Purchase,PURCHASE,1966-1750,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,60.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Mount Saint Mary,Gregory Harrison,Gregory,Harrison,,1468,Gregory Harrison,0,0MT. ST.,11,11,,,32,6,14,6,1,0,0,3,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0.486,15,35,1,1.000,.438,.469,18,20,1,0,0,0,0,4,0,39,.974,0,.000,,0,0,8,4,"2,7",0.29,2,7,"6,12",0.50,6,12,"5,9",0.56,5,9,"2,3",0.67,2,3,0,0,0,0,"5,11","2,3","8,14",33,0,0,0,0,0,0,0,1,5,0,,Mount Saint Mary,MT. ST.,307-2312,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,59.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Yeshiva,Jake Arnow,Jake,Arnow,,814,Jake Arnow,0,0YESHIVA,11,11,,,35,4,14,4,6,1,0,1,0,0,4,0,1,1,0,0,0,0,0,1,1,1,0,0.417,22,36,2,.500,.400,.629,48,8,8,3,0,38,4,0,0,64,.875,42,.905,,2,2,9,5,"6,9",0.67,6,9,"4,14",0.29,4,14,"4,7",0.57,4,7,"4,5",0.80,4,5,0,0,0,0,"2,4","1,1","6,14",0,0,0,0,0,0,0,0,1,3,0,,Yeshiva,YESHIVA,1229-3622,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,58.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Merchant Marine,Luke Kruer,Luke,Kruer,,724,Luke Kruer,0,0USMMA,10,10,,,34,9,16,12,3,0,1,2,0,2,5,0,4,0,0,2,0,0,0,2,1,2,0,0.500,22,40,4,1.000,.471,.647,22,0,1,0,0,0,0,0,0,23,.957,0,.000,,0,0,4,11,"8,12",0.67,8,12,"11,22",0.50,11,22,"7,16",0.44,7,16,"4,7",0.57,4,7,0,0,0,0,"3,8","6,9","16,27",1,0,0,0,0,0,0,0,3,10,0,,Merchant Marine,USMMA,486-2478,False,1,1,0,0,0,0,0,0,0,0,1.0,1,0,1,1,0,0,0,0.00,4,6,0,0,0,1,0,0,0,1,.250,1,1,0,"1,1","1,3",0,0,"0,1",6,98,57.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Maritime,Owen Weber,Owen,Weber,,478,Owen Weber,0,0MARITIME,14,14,,,60,12,25,11,7,0,1,5,0,1,10,6,0,0,0,1,0,0,0,2,1,2,0,0.463,35,67,0,.000,.417,.583,10,5,0,0,0,0,0,3,0,15,1.000,0,.000,,3,1,10,13,"12,26",0.46,12,26,"14,34",0.41,14,34,"7,19",0.37,7,19,"5,8",0.63,5,8,0,0,0,0,"6,11","2,4","19,37",156,0,0,0,0,0,0,0,3,15,0,,Maritime,MARITIME,1329-5308,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,56.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,Andrew Amarando,Andrew,Amarando,,1340,Andrew Amarando,0,0SJLI,13,13,,,43,15,18,11,0,1,0,8,0,1,5,1,8,2,2,0,0,0,0,0,1,0,0,0.519,20,54,10,.800,.419,.465,20,0,0,0,0,0,0,0,0,20,1.000,0,.000,,2,2,14,5,"4,12",0.33,4,12,"11,23",0.48,11,23,"9,19",0.47,9,19,"2,3",0.67,2,3,0,0,0,0,"10,19","3,3","18,27","1,1",1.00,1,1,0,0,0,0,2,12,0,,St. Joseph's-Long Island,SJLI,1327-2316,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,55.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Maritime,Chris Picarella,Chris,Picarella,,478,Chris Picarella,0,0MARITIME,12,11,,,39,11,18,10,8,0,1,13,0,1,8,2,3,2,0,0,0,0,0,0,1,0,0,0.604,29,53,5,.600,.462,.744,7,18,1,0,0,0,0,0,0,26,.962,0,.000,,1,0,6,6,"8,17",0.47,8,17,"11,23",0.48,11,23,"5,14",0.36,5,14,"3,6",0.50,3,6,0,0,0,0,"5,10","2,3","16,25",19,0,0,0,"0,1",0,0,1,3,13,0,,Maritime,MARITIME,1329-5306,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,54.0,batting,,
2026-27,baseball,Skyline Conference,skyline_conference,Merchant Marine,Braden Vazquez,Braden,Vazquez,,724,Braden Vazquez,0,0USMMA,10,10,,,34,8,12,8,4,0,0,5,0,2,10,2,2,0,2,1,0,0,0,0,0,0,0,0.452,16,44,2,1.000,.353,.471,18,0,0,0,0,0,0,0,0,18,1.000,0,.000,,1,0,5,10,"3,12",0.25,3,12,"5,13",0.38,5,13,"5,10",0.50,5,10,"2,5",0.40,2,5,0,0,0,0,"9,16","3,4","8,16",22,0,0,0,0,0,0,0,4,8,0,,Merchant Marine,USMMA,486-2481,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,53.0,batting,,
