season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Jackson Summers,Jackson,Summers,,585,Jackson Summers,0,0ROSE-HUL,16,16,,,66,22,28,7,6,2,1,11,0,1,6,3,3,1,0,0,0,0,0,0,2,0,0,0.513,41,78,4,.750,.424,.621,44,0,4,0,0,0,0,0,0,48,.917,0,.000,0,1,0,0,0,0,0,0,0,0,1.0,0,0,3,2,0,0,0,0.00,3,6,0,0,0,0,0,0,0,1,.000,1,2,16,15,"9,18",0.50,9,18,"11,28",0.39,11,28,"7,15",0.47,7,15,"4,6",0.67,4,6,0,0,0,0,"15,28","2,4","17,31",0,0,0,0,0,0,0,0,2,9,0,1,0,0,"0,1","0,2",0,0,"0,1",Rose-Hulman,ROSE-HUL,1038-4895,False,,,,,,1,99,84.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,Mitchell Roether,Mitchell,Roether,,195,Mitchell Roether,0,0EARLHAM,16,16,,,52,14,26,22,5,0,5,11,6,6,9,0,0,0,0,2,0,0,0,1,0,1,0,0.606,46,71,0,.000,.500,.885,104,4,0,0,0,0,0,7,0,108,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,9,"7,13",0.54,7,13,"13,27",0.48,13,27,"11,22",0.50,11,22,"3,4",0.75,3,4,0,0,0,0,"8,13","5,10","20,33",6,0,0,0,0,0,0,0,3,10,0,,,,,,,,,Earlham,EARLHAM,1215-1647,False,,,,,,2,99,83.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Manchester,M. Horner,M.,Horner,,1192,M. Horner,0,0MANCHEST,18,18,,,71,16,30,22,6,2,4,7,0,5,6,2,4,1,0,1,0,0,0,0,0,0,0,0.500,52,84,5,.800,.423,.732,27,2,1,0,0,0,0,0,0,30,.967,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,16,17,"9,20",0.45,9,20,"14,31",0.45,14,31,"8,18",0.44,8,18,"3,10",0.30,3,10,0,0,0,0,"17,28","3,8","23,35",23,0,0,0,0,0,0,0,2,11,0,,,,,,,,,Manchester,MANCHEST,1036-2761,False,,,,,,3,99,82.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Hanover,Josh Simpson,Josh,Simpson,,1115,Josh Simpson,0,0HAN,18,18,,,67,19,27,19,5,0,6,6,0,3,18,1,0,0,0,2,0,0,0,0,0,1,0,0.462,50,78,0,.000,.403,.746,66,3,2,0,0,0,0,6,0,71,.972,0,.000,3,1,0,0,0,1,0,0,0,0,3.0,4,4,4,4,0,0,0,12.00,12,16,0,0,0,0,0,0,0,0,.250,3,1,9,12,"8,22",0.36,8,22,"10,37",0.27,10,37,"6,23",0.26,6,23,"9,16",0.56,9,16,0,0,0,0,"10,17","6,10","21,42",22,0,0,0,0,0,0,0,6,16,0,3,2,0,"0,3","3,6","2,3",0,"1,4",Hanover,HAN,1035-2599,False,,,,,,4,98,81.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,Drew Helton,Drew,Helton,,2694,Drew Helton,0,0FRANKLIN,15,15,,,64,13,26,19,8,0,2,8,1,2,9,4,1,0,0,0,0,0,0,2,0,2,0,0.486,40,74,1,1.000,.406,.625,131,2,1,0,0,0,0,7,0,134,.993,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,18,"8,22",0.36,8,22,"16,36",0.44,16,36,"14,25",0.56,14,25,"2,4",0.50,2,4,0,0,0,0,"3,12","4,4","24,40",14,0,0,0,0,0,0,0,3,8,0,,,,,,,,,Franklin,FRANKLIN,1034-2924,False,,,,,,5,98,80.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,Landon Gum,Landon,Gum,,939,Landon Gum,0,0ANDERSON,14,12,,,43,9,18,14,8,0,1,3,0,7,15,1,4,0,0,1,0,0,0,0,1,0,0,0.519,29,54,4,1.000,.419,.674,16,2,1,0,0,0,0,0,0,19,.947,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,8,"6,15",0.40,6,15,"10,24",0.42,10,24,"6,16",0.38,6,16,"2,4",0.50,2,4,"0,4",0,0,4,"5,10","3,7","16,29",66,0,0,0,"0,0",0,0,0,2,6,0,,,,,,,,,Anderson,ANDERSON,0,False,,,,,,6,98,79.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Tj Pipkins,Tj,Pipkins,,585,Tj Pipkins,0,0ROSE-HUL,15,14,,,55,14,24,14,5,1,2,9,1,1,6,3,2,1,0,3,0,0,0,0,0,0,0,0.500,37,68,3,.667,.436,.673,40,3,2,0,0,0,0,0,0,45,.956,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,10,18,"8,20",0.40,8,20,"12,26",0.46,12,26,"10,19",0.53,10,19,"0,3",0,0,3,0,0,0,0,"5,12","6,11","19,32",23,0,0,0,0,0,0,0,5,9,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-5140,False,,,,,,7,97,78.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,Jackson Mcfarland,Jackson,Mcfarland,,195,Jackson Mcfarland,0,0EARLHAM,12,9,,,31,12,13,11,1,0,6,8,1,0,13,4,2,1,0,1,0,0,0,0,1,0,0,0.525,32,40,3,.667,.419,1.032,6,1,1,0,0,0,0,0,0,8,.875,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,"4,8",0.50,4,8,"9,19",0.47,9,19,"7,12",0.58,7,12,"0,2",0,0,2,0,0,0,0,"1,4","1,5","16,25",0,0,0,0,55,0,0,0,2,5,0,,,,,,,,,Earlham,EARLHAM,1215-2013,False,,,,,,8,97,77.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,Michael Hines,Michael,Hines,,585,Michael Hines,0,0ROSE-HUL,14,14,,,54,15,21,9,2,2,1,6,0,3,7,2,5,0,0,0,0,0,0,2,1,2,0,0.476,30,63,5,1.000,.389,.556,22,27,4,0,0,0,0,6,0,53,.925,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,15,9,"8,14",0.57,8,14,"12,31",0.39,12,31,"7,20",0.35,7,20,"1,6",0.17,1,6,0,0,0,0,"4,8","2,6","21,37",10,0,0,0,0,0,0,0,2,9,0,,,,,,,,,Rose-Hulman,ROSE-HUL,1038-5300,False,,,,,,9,97,76.0,batting,,
2026-27,baseball,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,Trevor Watkins,Trevor,Watkins,,28749,Trevor Watkins,0,0TRANSYLV,13,11,,,44,8,16,9,3,0,1,5,0,0,6,1,3,0,0,1,0,0,0,0,0,0,0,0.420,22,50,3,1.000,.364,.500,67,10,3,2,0,27,5,1,0,80,.963,32,.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,15,"4,11",0.36,4,11,"5,20",0.25,5,20,"3,15",0.20,3,15,"1,2",0.50,1,2,0,0,0,0,"5,13","2,5","12,24",23,0,0,0,0,0,0,0,1,12,0,,,,,,,,,Transylvania,TRANSYLV,1039-3007,False,,,,,,10,96,75.0,batting,,
