season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Kaileb Hackm,Kaileb,Hackm,,40,Kaileb Hackm,0,0AUGUSTAN,19,19,,,83,26,42,28,11,0,5,8,0,3,16,9,1,0,0,0,0,0,0,0,0,0,0,0.564,68,94,1,1.000,.506,.819,21,1,2,0,0,0,0,0,0,24,.917,0,.000,,0,0,9,14,"18,29",0.62,18,29,"27,53",0.51,27,53,"17,35",0.49,17,35,"7,10",0.70,7,10,0,0,0,0,"5,14","5,10","34,56",47,0,0,0,0,0,0,0,5,10,0,,Augustana,AUGUSTAN,489-5392,False,5,1,1,0,1,0,0,0,0,0,0.0,6,5,2,2,2,0,0,99.00,-6,-6,3,2,0,0,0,0,0,2,-.833,2,-4,0,"0,1","0,2","1,2",0,"0,1",,,,1,99,80.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Carroll,Dalen Lamberson,Dalen,Lamberson,,120,Dalen Lamberson,0,0CARROLL,19,19,,,79,21,34,26,8,1,2,4,0,3,6,3,3,0,1,1,0,0,0,0,1,0,0,0.471,50,88,3,1.000,.430,.633,30,30,2,0,0,0,0,2,0,62,.968,0,.000,,2,4,16,22,"16,36",0.44,16,36,"20,46",0.43,20,46,"14,33",0.42,14,33,"4,5",0.80,4,5,0,0,0,0,"9,11","7,9","32,51",25,0,0,0,0,0,0,0,7,15,0,,Carroll,CARROLL,1094-6951,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,79.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,John Greenwood,John,Greenwood,,496,John Greenwood,0,0NORTH PA,19,19,,,75,13,34,26,6,0,0,14,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0.549,40,91,0,.000,.453,.533,135,11,5,0,0,0,0,6,0,151,.967,0,.000,,6,2,20,11,"10,26",0.38,10,26,"25,46",0.54,25,46,"19,32",0.59,19,32,"6,15",0.40,6,15,0,0,0,0,"8,12","10,13","34,48",36,0,0,0,0,0,0,0,4,11,0,,North Park,NORTH PA,686-4166,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,78.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,North Central,Parker Wyatt,Parker,Wyatt,,492,Parker Wyatt,0,0NCC,15,15,,,59,22,24,22,12,1,2,9,0,4,14,1,3,0,0,3,0,0,0,1,1,2,0,0.493,44,75,3,1.000,.407,.746,33,0,0,0,0,0,0,0,0,33,1.000,0,.000,,1,2,7,17,"8,21",0.38,8,21,"13,39",0.33,13,39,"11,28",0.39,11,28,"6,13",0.46,6,13,0,0,0,0,"7,10","7,13","24,46",38,0,0,0,0,0,0,0,6,12,0,,North Central,NCC,685-7361,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,77.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,Taylor Joseph,Taylor,Joseph,,496,Taylor Joseph,0,0NORTH PA,17,17,,,68,20,30,22,3,3,3,8,0,2,13,4,4,2,0,1,0,0,0,0,0,0,0,0.506,48,79,6,.667,.441,.706,25,45,6,0,0,0,0,3,0,76,.921,0,.000,,6,6,9,13,"15,23",0.65,15,23,"23,48",0.48,23,48,"14,29",0.48,14,29,"4,12",0.33,4,12,0,0,0,0,"2,6","3,8","35,53",15,0,0,0,0,0,0,0,3,5,0,,North Park,NORTH PA,686-4163,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,76.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Carthage,Zander Tubbs,Zander,Tubbs,,121,Zander Tubbs,0,0CARTHAGE,14,14,,,59,16,24,21,4,3,4,3,0,2,11,1,2,0,0,1,0,0,0,2,0,3,0,0.446,46,65,2,1.000,.407,.780,31,0,0,0,0,0,0,0,0,31,1.000,0,.000,,0,0,9,16,"7,18",0.39,7,18,"16,33",0.48,16,33,"11,18",0.61,11,18,"2,5",0.40,2,5,0,0,0,0,"4,8","7,9","21,36","1,1",1.00,1,1,0,0,0,0,6,4,0,,Carthage,CARTHAGE,681-5811,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,75.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Wheaton,Jack Gill,Jack,Gill,,778,Jack Gill,0,0WHEATON,18,18,,,66,20,29,20,7,3,3,11,0,3,8,5,1,0,0,1,0,0,0,2,0,2,0,0.531,51,81,1,1.000,.439,.773,22,40,3,0,0,0,0,6,0,65,.954,0,.000,,2,2,11,17,"11,25",0.44,11,25,"16,39",0.41,16,39,"9,26",0.35,9,26,"1,2",0.50,1,2,0,0,0,0,"5,12","3,8","31,49",25,0,0,0,0,0,0,0,6,17,0,,Wheaton,WHEATON,687-3670,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,74.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Augustana,Zach Quimby,Zach,Quimby,,40,Zach Quimby,0,0AUGUSTAN,11,11,,,41,16,17,19,8,0,4,8,0,0,8,1,0,0,0,0,0,0,0,1,0,1,0,0.510,37,49,0,.000,.415,.902,46,1,0,2,0,15,0,2,0,47,1.000,15,1.000,,1,1,3,12,"3,13",0.23,3,13,"12,34",0.35,12,34,"6,22",0.27,6,22,"1,8",0.13,1,8,0,0,0,0,"6,6","6,8","15,36",104,0,0,0,0,0,0,0,1,15,0,,Augustana,AUGUSTAN,489-5696,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,73.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,North Central,Caleb Coberley,Caleb,Coberley,,492,Caleb Coberley,0,0NCC,14,14,,,52,12,27,19,5,0,2,7,0,1,7,3,2,2,0,3,0,0,0,1,3,1,0,0.556,38,63,4,.500,.519,.731,20,0,0,0,0,0,0,0,0,20,1.000,0,.000,,1,2,9,12,"8,17",0.47,8,17,"14,30",0.47,14,30,"10,21",0.48,10,21,"6,9",0.67,6,9,0,0,0,0,"11,14","5,9","23,35",51,0,0,0,0,0,0,0,6,7,0,,North Central,NCC,685-7128,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,72.0,batting,,
2026-27,baseball,College Conference of Illinois and Wisconsin (CCIW),cciw,Wheaton,Charlie Scofield,Charlie,Scofield,,778,Charlie Scofield,0,0WHEATON,17,17,,,64,14,26,18,7,1,0,7,0,1,6,1,2,1,0,2,0,0,0,3,0,4,0,0.459,35,74,3,.667,.406,.547,109,7,1,0,0,0,0,5,0,117,.991,0,.000,,1,0,14,19,"10,21",0.48,10,21,"14,39",0.36,14,39,"13,32",0.41,13,32,"1,3",0.33,1,3,0,0,0,0,"8,16","5,9","24,43",23,0,0,0,0,0,0,0,11,17,0,,Wheaton,WHEATON,687-3850,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,71.0,batting,,
