conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Eva Gardner,,,,15,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,9,1,60:00,0,0,1.000,4,7,0,7,3,4,.571,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Liz Barroll,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120:00,0,0,1.000,1,1,0,4,4,0,1.000,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Lexi Thaut,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Ali Broome,,,,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,20,5,11,14,1020:00,0,0,1.000,1,2,0,2,1,1,.500,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Meghan McDonald,,,,10,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,00:00,0,0,1.000,6,8,2,4,0,4,.750,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Caroline Cavendish,,,,17,10,0,1,0,0,0,1,4,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,8,9,26,0,600:00,0,0,1.000,22,29,6,12,2,10,.759,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Faith Parker,,,,17,17,0,1,0,0,0,2,12,0,2,0,0,0,0,5,4,0,0,0,0,0,0,0,0,12,45,28,9,1020:00,0,0,1.000,46,63,6,20,6,14,.730,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Emma Norton,,,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,3,2,9,960:00,0,0,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Mia Snellenburg,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
centennial_conference,Centennial Conference,2025-26,wlax,Dickinson,Lola Triay,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
