season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,H. Ayers,H.,Ayers,,420,H. Ayers,0,0MIDBASE,11,10,,,41,15,23,6,5,1,0,4,0,1,2,1,1,2,0,1,0,0,0,1,0,1,0,0.596,30,47,3,.333,.561,.732,42,9,0,1,0,8,3,1,0,51,1.000,11,.727,,2,0,8,8,"9,14",0.64,9,14,"10,17",0.59,10,17,"6,12",0.50,6,12,"3,7",0.43,3,7,0,0,0,0,"7,13","3,6","16,20","0,1",0,0,1,0,0,0,0,5,2,0,,Middlebury,MIDBASE,1126-6592,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,69.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Trinity,Aidan Stern,Aidan,Stern,,713,Aidan Stern,0,0TRINITY,9,9,,,31,11,14,3,3,1,1,3,0,4,3,0,9,0,0,1,0,0,0,0,0,0,0,0.538,22,39,9,1.000,.452,.710,53,5,0,3,0,8,4,0,0,58,1.000,12,.667,,0,0,5,10,"3,8",0.38,3,8,"3,10",0.30,3,10,"1,2",0.50,1,2,0,0,0,0,0,0,0,0,"9,14","1,2","6,12","0,1",0,0,1,0,0,0,0,2,4,0,,Trinity,TRINITY,1127-5181,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,68.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Gibby Sullivan,Gibby,Sullivan,,50,Gibby Sullivan,0,0BATES,11,11,,,37,14,16,25,3,2,2,9,0,1,6,0,4,1,0,4,0,0,0,0,0,0,0,0.510,29,51,5,.800,.432,.784,10,1,1,0,0,0,0,0,0,12,.917,0,.000,,1,2,7,11,"4,9",0.44,4,9,"11,24",0.46,11,24,"10,20",0.50,10,20,"4,13",0.31,4,13,0,0,0,0,"6,9","12,16","21,31",29,0,0,0,0,0,0,0,9,7,0,,Bates,BATES,1120-5302,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,67.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Amherst,Tyler Mccord,Tyler,Mccord,,24,Tyler Mccord,0,0AMHERST,12,12,,,48,15,22,22,7,1,0,8,0,0,1,1,2,1,0,0,0,0,0,1,1,2,0,0.536,31,56,3,.667,.458,.646,17,26,0,0,0,0,0,3,0,43,1.000,0,.000,,1,2,11,13,"9,20",0.45,9,20,"16,31",0.52,16,31,"11,23",0.48,11,23,"4,8",0.50,4,8,0,0,0,0,"2,5","8,10","27,37",44,0,0,0,0,0,0,0,3,8,0,,Amherst,AMHERST,1119-5142,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,66.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Colby,Tony Silva,Tony,Silva,,151,Tony Silva,0,0COLBY,13,13,,,46,10,19,16,2,0,2,7,0,2,8,3,0,0,1,0,0,0,0,0,0,0,0,0.509,27,56,0,.000,.413,.587,10,0,2,0,0,0,0,0,0,12,.833,0,.000,,0,3,12,7,"6,19",0.32,6,19,"11,22",0.50,11,22,"8,15",0.53,8,15,"1,6",0.17,1,6,0,0,0,0,"7,12","5,5","21,28",78,0,0,0,0,0,0,0,3,8,0,,Colby,COLBY,1123-2543,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,65.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Amherst,Charlie Lafreniere,Charlie,Lafreniere,,24,Charlie Lafreniere,0,0AMHERST,12,12,,,39,13,18,14,3,0,1,9,0,0,5,0,1,0,0,3,0,0,0,0,1,0,0,0.529,24,51,1,1.000,.462,.615,19,1,0,0,0,0,0,0,0,20,1.000,0,.000,,0,3,6,12,"6,12",0.50,6,12,"10,24",0.42,10,24,"8,15",0.53,8,15,"4,5",0.80,4,5,0,0,0,0,"8,13","6,8","22,31",1,0,0,0,0,0,0,0,8,7,0,,Amherst,AMHERST,1119-5299,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,64.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Jack Kamin,Jack,Kamin,,717,Jack Kamin,0,0TUFTS,9,8,,,33,13,16,13,1,0,2,7,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0.561,23,41,2,1.000,.485,.697,7,0,0,0,0,0,0,0,0,7,1.000,0,.000,,2,0,5,8,"6,11",0.55,6,11,"9,17",0.53,9,17,"7,15",0.47,7,15,"3,7",0.43,3,7,"7,14",0.50,7,14,"6,10","3,5","14,20",37,0,0,0,0,0,0,0,7,6,0,,Tufts,TUFTS,1129-4886,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,63.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Amherst,Carson Ames,Carson,Ames,,24,Carson Ames,0,0AMHERST,12,12,,,41,16,18,13,4,1,0,9,0,0,3,2,1,0,1,0,0,0,0,1,0,1,0,0.540,24,51,1,1.000,.439,.585,9,24,1,0,0,0,0,1,0,34,.971,0,.000,,5,0,10,6,"4,12",0.33,4,12,"10,24",0.42,10,24,"7,20",0.35,7,20,"1,4",0.25,1,4,0,0,0,0,"6,9","4,4","19,27",22,0,0,0,0,0,0,0,4,7,0,,Amherst,AMHERST,1119-5668,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,62.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Hamilton,L. Herman,L.,Herman,,267,L. Herman,0,0HCBASE26,11,10,,,37,7,15,12,7,1,1,3,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0.463,27,41,0,.000,.405,.730,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,1,7,8,"7,16",0.44,7,16,"11,25",0.44,11,25,"8,17",0.47,8,17,"5,8",0.63,5,8,0,0,0,0,"3,6","3,4","13,27","1,1",1.00,1,1,0,0,0,0,0,9,0,,Hamilton,HCBASE26,1058-2542,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,61.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Trinity,Aidan Stevenson,Aidan,Stevenson,,713,Aidan Stevenson,0,0TRINITY,11,10,,,34,8,14,12,4,0,1,2,0,0,4,1,1,0,0,1,0,0,0,1,1,2,0,0.432,21,37,1,1.000,.412,.618,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,2,0,7,8,"4,8",0.50,4,8,"9,22",0.41,9,22,"7,17",0.41,7,17,"1,2",0.50,1,2,0,0,0,0,"4,7","3,5","13,23",55,0,0,0,"0,1",0,0,1,5,6,0,,Trinity,TRINITY,1127-5459,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,60.0,batting,,
