conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
skyline_conference,Skyline Conference,2025-26,mvball,Purchase,"Williams, Channing",0,,12,119,74,0.267,1149.0,222.0,529.0,33.0,6.0,146.0,0.0,34.0,39.0,419.0,0.0,0.0,369.0,32.0,249.0,67.0,17.0,58.0,9.0,601.0,2.0,4.45,0.28,2.09,0.56,0.29,5.05,3.194904131226142,3.3896049442183305,-0.2393630059572493,1.2859459743134902,0.7839279652431995,1.635151989803208,4.689467264291663,0.9841858266438,6.091990418208571,1,99
skyline_conference,Skyline Conference,2025-26,mvball,NJCU,"Pardasie, Marcus",0,,10,103,65,0.313,998.0,140.0,452.0,32.0,4.0,128.0,0.0,33.0,44.0,420.0,0.0,0.0,580.0,14.0,223.0,34.0,1.0,22.0,12.0,508.0,2.0,4.39,0.31,2.17,0.33,0.32,4.93,3.095308927430541,3.332071308238461,-0.22557399970565,0.44189463994055256,0.9619976240148405,1.7455337298778004,2.6799214473952695,1.2336931919198697,6.008397767572542,2,94
skyline_conference,Skyline Conference,2025-26,mvball,Sarah Lawrence,"Davis, Nate",0,,4,84,63,0.334,805.0,111.0,380.0,8.0,4.0,70.0,0.0,17.0,34.0,247.0,0.0,0.0,422.0,21.0,163.0,31.0,3.0,21.0,10.0,417.5,0.0,4.52,0.1,1.94,0.37,0.2,4.97,3.1285073286957417,3.4567275195281773,-0.3220970434668451,0.5886861763532373,0.2497189889282774,1.4281862271633472,1.9692284145904475,0.7346784613677304,5.984594829722081,3,93
skyline_conference,Skyline Conference,2025-26,mvball,Ramapo,"Kirchofer, Reece",0,,4,96,70,0.259,975.0,137.0,390.0,14.0,2.0,82.0,0.0,34.0,78.0,355.0,0.0,0.0,585.0,28.0,174.0,41.0,9.0,26.0,15.0,452.0,1.0,4.06,0.15,1.81,0.43,0.35,4.71,2.9127177204719397,3.0156363103491803,-0.29911536638084624,0.8088734809722644,1.140067282786481,1.2488158995421346,2.606401478484426,2.9303432757971435,5.504110554132436,4,91
skyline_conference,Skyline Conference,2025-26,mvball,St. Joseph's-Brooklyn,"Martinez, Jeremias",0,,2,74,24,0.231,746.0,127.0,299.0,11.0,7.0,142.0,0.0,33.0,47.0,234.0,0.0,0.0,361.0,28.0,137.0,11.0,2.0,10.0,1.0,338.0,0.0,4.04,0.15,1.85,0.15,0.45,4.57,2.796523316043739,2.996458431689224,-0.29911536638084624,-0.218667273916529,1.7336328120252837,1.3040067695794308,2.3613349154482806,1.3833976110855117,5.31373527761511,5,90
skyline_conference,Skyline Conference,2025-26,mvball,St. Joseph's-Long Island,"MacPherson, Luke",0,,7,78,27,0.308,571.0,71.0,247.0,19.0,1.0,71.0,0.0,31.0,39.0,270.0,0.0,0.0,294.0,22.0,153.0,31.0,1.0,27.0,4.0,295.5,0.0,3.17,0.24,1.96,0.4,0.4,3.79,2.1491544913723324,2.1622207099811206,-0.25774834762604837,0.6987798286627509,1.4368500474058825,1.4557816621819955,0.9889621624458651,0.9841858266438,4.716146384467273,6,89
skyline_conference,Skyline Conference,2025-26,mvball,Manhattanville,"Medrano, Emil",0,,8,55,35,0.269,468.0,63.0,189.0,25.0,2.0,123.0,0.0,17.0,39.0,209.0,0.0,0.0,280.0,19.0,118.0,9.0,0.0,6.0,3.0,212.0,2.0,3.44,0.45,2.15,0.16,0.31,3.85,2.1989520932701327,2.4211220718905317,-0.1612253038648533,-0.18196938981335775,0.9026410710909601,1.7179382948591524,0.7929089120169486,0.9841858266438,4.481670510640369,7,88
skyline_conference,Skyline Conference,2025-26,mvball,St. Joseph's-Long Island,"O'Donoghue, Denis",0,,14,10,1,0.121,58.0,14.0,21.0,0.0,1.0,2.0,0.0,8.0,7.0,25.0,0.0,0.0,22.0,1.0,15.0,3.0,0.0,1.0,2.0,31.5,0.0,2.1,0.0,1.5,0.3,0.8,3.15,1.617980071129127,1.136204201673453,-0.36806039763884274,0.3318009876310389,3.811112164361093,0.8210866567530889,-0.4079172468601649,-0.612661311123046,4.34457379811715,8,87
skyline_conference,Skyline Conference,2025-26,mvball,Manhattanville,"Simmons, Kyle",0,,12,83,68,0.176,714.0,131.0,257.0,10.0,3.0,58.0,0.0,33.0,65.0,274.0,0.0,0.0,110.0,5.0,128.0,36.0,9.0,32.0,4.0,310.0,2.0,3.1,0.12,1.54,0.43,0.4,3.73,2.0993568894745316,2.0950981346712734,-0.3129043726324456,0.8088734809722644,1.4368500474058825,0.8762775267903852,2.4593615406627385,2.2816241260793624,4.065904194037681,9,86
skyline_conference,Skyline Conference,2025-26,mvball,St. Joseph's-Long Island,"Renniesen, Jesse",0,,22,9,1,0.375,48.0,6.0,24.0,1.0,1.0,5.0,0.0,3.0,3.0,22.0,0.0,0.0,1.0,0.0,9.0,5.0,0.0,5.0,0.0,29.5,0.0,2.67,0.11,1.0,0.56,0.33,3.28,1.725874875241028,1.6827737434822103,-0.3175007080496453,1.2859459743134902,1.0213541769387207,0.13120078128688603,-0.6039704972890814,-0.8122672033439018,3.751136206418854,10,85
