season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Empire 8 (E8),e8,Elmira,Cj Wheaton,Cj,Wheaton,,213,Cj Wheaton,0,0EAGLES,12,12,,,38,11,16,9,6,1,1,6,0,0,4,0,6,2,2,0,0,0,0,0,0,0,0,0.500,27,46,8,.750,.421,.711,5,27,5,0,0,0,0,0,0,37,.865,0,.000,,2,2,11,7,"6,12",0.50,6,12,"12,22",0.55,12,22,"8,14",0.57,8,14,"1,3",0.33,1,3,0,0,0,0,"3,7","3,3","18,24",66,0,0,0,0,0,0,0,4,4,0,,Elmira,EAGLES,1004-2755,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,59.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,Elmira,Kaden Bolt,Kaden,Bolt,,213,Kaden Bolt,0,0EAGLES,12,12,,,38,18,16,9,3,0,2,2,0,7,11,2,11,1,1,1,0,0,0,0,1,0,0,0.521,25,49,12,.917,.421,.658,31,1,0,0,0,0,0,0,0,32,1.000,0,.000,,2,0,3,9,"6,9",0.67,6,9,"9,19",0.47,9,19,"3,10",0.30,3,10,"2,3",0.67,2,3,0,0,0,0,"11,18","2,3","14,23",55,0,0,0,0,0,0,0,2,4,0,,Elmira,EAGLES,1004-2195,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,58.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,Keuka,Derek Novicki,Derek,Novicki,,1159,Derek Novicki,0,0KEUKA,12,12,,,39,8,19,8,4,1,0,5,0,3,2,1,3,0,0,2,0,0,0,0,0,1,0,0.551,25,49,3,1.000,.487,.641,52,4,1,0,0,0,0,4,0,57,.982,0,.000,,0,3,11,8,"9,16",0.56,9,16,"10,21",0.48,10,21,"6,12",0.50,6,12,"2,3",0.67,2,3,0,0,0,0,"1,9","3,6","17,24","1,2",0.50,1,2,0,0,0,0,4,7,0,,Keuka,KEUKA,1241-1547,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,57.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,St. John Fisher,"Perry, Jordan",Jordan,Perry,,601,"Perry, Jordan",0,0STJOHN,17,17,,,73,17,33,27,9,0,2,7,0,1,7,2,6,0,2,1,0,0,0,0,3,0,0,0.500,48,84,6,1.000,.452,.658,22,0,1,0,0,0,0,0,0,23,.957,0,.000,,1,3,15,20,"14,23",0.61,14,23,"22,37",0.59,22,37,"17,27",0.63,17,27,"3,9",0.33,3,9,0,0,0,0,"2,13","5,6","31,45",172,0,0,0,0,0,0,0,3,14,0,,St. John Fisher,STJOHN,1009-6360,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,56.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,St. John Fisher,"Griffin, Jack",Jack,Griffin,,601,"Griffin, Jack",0,0STJOHN,17,17,,,64,17,27,20,8,0,3,14,0,7,10,2,0,0,0,1,0,0,0,0,0,0,0,0.558,44,86,0,.000,.422,.688,110,6,2,0,0,0,0,3,0,118,.983,0,.000,,1,5,8,16,"15,34",0.44,15,34,"13,34",0.38,13,34,"9,26",0.35,9,26,"2,7",0.29,2,7,0,0,0,0,"7,9","4,12","29,41",41,0,0,0,0,0,0,0,7,18,0,,St. John Fisher,STJOHN,1009-6362,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,55.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Joseph Karpierz,Joseph,Karpierz,,11036,Joseph Karpierz,0,0RSCBASE,14,14,,,52,20,24,19,6,1,0,10,0,2,7,2,9,3,1,2,0,0,0,0,0,1,0,0.545,32,67,12,.750,.462,.615,18,33,6,0,0,0,0,8,0,57,.895,0,.000,,0,1,9,15,"5,12",0.42,5,12,"16,28",0.57,16,28,"12,17",0.71,12,17,"6,9",0.67,6,9,0,0,0,0,"4,11","8,10","23,34",55,0,0,0,0,0,0,0,9,2,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,54.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,Elmira,Jordan Barthel,Jordan,Barthel,,213,Jordan Barthel,0,0EAGLES,11,11,,,31,12,14,17,6,1,5,6,1,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0.513,37,39,0,.000,.452,1.194,27,2,0,0,0,4,0,0,0,29,1.000,4,1.000,,1,0,4,8,"4,9",0.44,4,9,"11,20",0.55,11,20,"9,16",0.56,9,16,"1,1",1.00,1,1,0,0,0,0,"2,4","6,10","16,24","0,1",0,0,1,0,0,0,0,3,4,0,,Elmira,EAGLES,1004-2756,False,9,1,2,0,0,0,0,0,0,0,8.0,8,7,8,11,1,1,1,7.88,33,43,1,2,1,0,0,0,0,2,.273,8,4,1,"2,4","3,12","1,3",0,"2,6",7,97,53.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,Houghton,Christian Tortorici,Christian,Tortorici,,30160,Christian Tortorici,0,0HOUGHTON,11,11,,,40,8,17,16,5,2,1,10,0,0,9,2,6,1,0,0,0,0,0,0,0,0,0,0.540,29,50,7,.857,.425,.725,99,10,4,1,0,21,7,0,0,113,.965,28,.750,,2,2,7,5,"6,13",0.46,6,13,"13,24",0.54,13,24,"10,20",0.50,10,20,"2,2",1.00,2,2,0,0,0,0,"2,8","3,6","17,26",69,0,0,0,0,0,0,0,0,7,0,,Houghton,HOUGHTON,702-1690,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,52.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,Houghton,Nate Hall,Nate,Hall,,30160,Nate Hall,0,0HOUGHTON,11,11,,,36,14,17,11,3,2,0,8,0,1,7,1,12,1,0,2,0,0,0,1,1,1,0,0.553,24,47,13,.923,.472,.667,10,0,0,0,0,0,0,0,0,10,1.000,0,.000,,1,1,5,9,"3,12",0.25,3,12,"11,22",0.50,11,22,"11,20",0.55,11,20,"0,2",0,0,2,0,0,0,0,"6,10","5,8","14,26",55,0,0,0,0,0,0,0,3,10,0,,Houghton,HOUGHTON,702-1817,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,51.0,batting,,
2026-27,baseball,Empire 8 (E8),e8,Russell Sage,Nick Irizarry,Nick,Irizarry,,11036,Nick Irizarry,0,0RSCBASE,14,14,,,54,23,20,8,1,0,0,13,0,1,4,0,17,1,1,1,0,0,0,0,0,1,0,0.493,21,70,18,.944,.370,.389,35,4,2,0,0,0,0,1,0,41,.951,0,.000,,1,6,24,7,"2,14",0.14,2,14,"11,28",0.39,11,28,"7,17",0.41,7,17,"2,7",0.29,2,7,0,0,0,0,"11,21","4,4","20,33",33,0,0,0,0,0,0,0,5,11,0,,Russell Sage,RSCBASE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,50.0,batting,,
