season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Landmark Conference,landmark_conference,Catholic,Sammy Burman,Sammy,Burman,,124,Sammy Burman,0,0CATHOLIC,19,17,,,66,14,27,23,9,3,4,7,0,2,10,0,1,1,0,0,0,0,0,0,0,1,0,0.48,54,75,2,0.5,0.409,0.818,7,0,0,0,0,0,0,0,0,7,1.0,0,0.0,,0,0,5,24,"10,21",0.48,10,21,"18,38",0.47,18,38,"13,22",0.59,13,22,"8,13",0.62,8,13,0,0.0,0,0,"5,13","4,5","24,41","0,1",0.0,0,1,15,0.0,0,0,3,13,0,,Catholic,CATHOLIC,1049-3103,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,105.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Scranton,Joey Granko,Joey,Granko,,633,Joey Granko,0,0SCRANTON,16,15,,,49,21,21,21,2,2,2,11,0,8,13,5,4,0,0,1,0,0,0,0,0,0,0,0.58,33,69,4,1.0,0.429,0.673,108,2,3,0,0,0,0,7,0,113,0.973,0,0.0,,3,2,10,4,"10,24",0.42,10,24,"15,31",0.48,15,31,"13,25",0.52,13,25,"2,6",0.33,2,6,0,0.0,0,0,"9,15","6,11","24,39",209,0.0,0,0,0,0.0,0,0,0,13,0,,Scranton,SCRANTON,1056-2700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,104.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Elizabethtown,N. Fiorini,N.,Fiorini,,211,N. Fiorini,0,0ELIZABET,12,11,,,35,10,14,19,4,0,2,8,0,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0.532,24,47,2,1.0,0.4,0.686,11,0,2,0,0,0,0,0,0,13,0.846,0,0.0,,0,0,10,9,"4,8",0.5,4,8,"13,22",0.59,13,22,"9,12",0.75,9,12,"2,4",0.5,2,4,0,0.0,0,0,"2,7","3,3","24,28",110,0.0,0,0,2,0.0,0,0,6,1,0,,Elizabethtown,ELIZABET,993-6077,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,103.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Scranton,Conor Campbell,Conor,Campbell,,633,Conor Campbell,0,0SCRANTON,18,18,,,72,21,30,15,3,0,0,12,0,1,6,5,2,1,1,2,0,0,0,1,1,1,0,0.494,33,88,3,0.667,0.417,0.458,44,1,1,0,0,0,0,0,0,46,0.978,0,0.0,,2,7,23,14,"5,21",0.24,5,21,"17,40",0.43,17,40,"13,26",0.5,13,26,"7,13",0.54,7,13,0,0.0,0,0,"10,19","10,12","28,47",83,0.0,0,0,0,0.0,0,0,7,21,0,,Scranton,SCRANTON,1056-202,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,102.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Elizabethtown,A. Perrin,A.,Perrin,,211,A. Perrin,0,0ELIZABET,16,16,,,43,11,19,13,4,0,0,7,0,4,3,3,5,1,5,1,0,0,0,0,0,1,0,0.545,23,60,6,0.833,0.442,0.535,31,29,2,0,0,0,0,4,0,62,0.968,0,0.0,,3,6,18,7,"6,15",0.4,6,15,"11,23",0.48,11,23,"7,15",0.47,7,15,"4,9",0.44,4,9,0,0.0,0,0,"7,9","6,9","26,34",63,0.0,0,0,0,0.0,0,0,8,6,0,,Elizabethtown,ELIZABET,993-5760,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,101.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Lycoming,A.J. Llorente,A.J.,Llorente,,373,A.J. Llorente,0,0LYCOMING,15,15,,,54,11,23,13,1,0,0,9,0,0,6,4,0,1,0,1,0,0,0,1,0,1,0,0.5,24,64,1,0.0,0.426,0.444,107,6,0,0,0,0,0,12,0,113,1.0,0,0.0,,4,3,16,7,"9,20",0.45,9,20,"13,30",0.43,13,30,"9,23",0.39,9,23,"3,10",0.3,3,10,0,0.0,0,0,"5,11","5,8","23,35",66,0.0,0,0,0,0.0,0,0,5,7,0,,Lycoming,LYCOMING,996-9336,False,8.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.2,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.69,38.0,42.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.211,18.0,7.0,0.0,"4,11","3,14","3,11",0,"0,9",6,98,100.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,Z. Maxwell,Z.,Maxwell,,190,Z. Maxwell,0,0DREW,17,17,,,62,15,25,12,6,2,0,6,0,3,7,3,6,1,3,0,0,0,0,0,0,0,0,0.479,35,74,7,0.857,0.403,0.565,17,1,1,0,0,0,0,0,0,19,0.947,0,0.0,,5,2,9,20,"9,22",0.41,9,22,"17,34",0.5,17,34,"13,21",0.62,13,21,"7,17",0.41,7,17,0,0.0,0,0,"5,13","3,4","24,39",11,0.0,0,0,0,0.0,0,0,4,9,0,,Drew,DREW,1050-4722,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,99.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Drew,D. Gallagher,D.,Gallagher,,190,D. Gallagher,0,0DREW,12,11,,,32,10,13,10,1,0,2,4,0,7,3,0,1,1,0,0,0,0,0,0,0,1,0,0.558,20,43,2,0.5,0.406,0.625,9,1,0,0,0,0,0,0,0,10,1.0,0,0.0,,0,2,8,8,"2,9",0.22,2,9,"7,19",0.37,7,19,"5,15",0.33,5,15,"7,13",0.54,7,13,0,0.0,0,0,"5,7","4,8","12,21",2,0.0,0,0,6,0.0,0,0,5,4,0,,Drew,DREW,1050-4718,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,98.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Susquehanna,"Heyduk, Dylan",Dylan,Heyduk,,685,"Heyduk, Dylan",0,0SUS,19,19,,,71,19,30,10,4,1,0,13,0,7,9,4,7,4,0,0,0,0,0,2,0,2,0,0.549,36,91,11,0.636,0.423,0.507,37,3,1,0,0,0,0,0,0,41,0.976,0,0.0,,0,3,20,12,"8,21",0.38,8,21,"18,38",0.47,18,38,"10,19",0.53,10,19,"1,5",0.2,1,5,"1,4",0.25,1,4,"10,18","5,8","28,46",169,0.0,0,0,"0,0",0.0,0,0,5,12,0,,Susquehanna,SUS,1054-3898,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,97.0,batting,,
2026-27,baseball,Landmark Conference,landmark_conference,Juniata,Matthew Koehler,Matthew,Koehler,,325,Matthew Koehler,0,0JUNIATA,10,5,,,22,4,9,3,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0.458,9,24,1,1.0,0.409,0.409,4,13,3,0,0,0,0,3,0,20,0.85,0,0.0,,1,0,8,2,"4,8",0.5,4,8,"4,11",0.36,4,11,"3,7",0.43,3,7,"1,3",0.33,1,3,0,0.0,0,0,"4,6","1,1","8,12",0,0.0,0,0,1,0.0,0,0,2,4,0,,Juniata,JUNIATA,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,96.0,batting,,
