conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Wiersema, Madison",0,,25,111,1,.194,509,72,171,6,1,26,0,0,0,0,0,0,2,0,63,72,6,64,8,211,0,1.54,0.05,0.57,0.65,0.00,1.90
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Baker, Aerin",0,,5,101,42,.229,936,138,352,9,4,71,0,27,15,206,0,0,605,35,155,45,6,41,4,403.5,1,3.49,0.09,1.53,0.45,0.27,4.00
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Ekblaw, Emma",0,,18,110,48,.327,535,63,238,13,2,53,0,34,61,402,0,0,1,1,72,127,17,108,19,345,0,2.16,0.12,0.65,1.15,0.31,3.14
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Steen, Jordan",0,,7,35,0,1.000,2,0,2,1,1,6,0,8,6,48,0,0,34,4,26,0,0,0,0,10,0,0.06,0.03,0.74,0.00,0.23,0.29
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Namminga, Jasmine",0,,10,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Moore, Allison",0,,14,16,6,.171,76,11,24,0,0,4,0,0,0,1,0,0,33,3,8,6,0,6,0,27,0,1.50,0.00,0.50,0.38,0.00,1.69
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Vander Zwaag, Tryna",0,,19,109,0,.114,35,1,5,124,4,429,0,27,23,362,0,0,443,35,422,0,0,0,0,32,0,0.05,1.14,3.87,0.00,0.25,0.29
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Boa, Mary",0,,20,97,42,.236,276,42,107,7,1,30,0,0,2,3,0,0,9,1,12,120,11,106,14,174,1,1.10,0.07,0.12,1.24,0.00,1.79
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Spoelma, Grace",0,,6,104,0,.273,44,2,14,460,7,1218,0,19,34,406,0,0,2,0,199,0,0,0,0,33,0,0.13,4.42,1.91,0.00,0.18,0.32
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wvball,Calvin,"Kemp, Delaney",0,,12,111,47,.188,64,3,15,587,23,1565,0,41,27,426,0,0,5,0,261,0,1,0,0,56,0,0.14,5.29,2.35,0.00,0.37,0.50
