season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,L. Thomas,L.,Thomas,,806,L. Thomas,0,0WITM,37,37,,,157,33,52,35,6,0,5,10,1,14,17,1,5,0,0,2,0,0,0,3,0,3,0,0.415,73,183,5,1.000,.331,.465,37,59,3,0,0,0,0,16,0,99,.970,0,.000,,1,7,40,48,"13,48",0.27,13,48,"25,73",0.34,25,73,"23,55",0.42,23,55,"6,23",0.26,6,23,0,0,0,0,"23,52","12,16","50,90",10,0,0,0,0,0,0,0,10,38,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,T. Chilicki,T.,Chilicki,,806,T. Chilicki,0,0WITM,37,37,,,161,34,60,35,12,1,4,9,1,8,15,4,1,1,2,1,0,0,0,3,0,3,0,0.430,86,181,2,.500,.373,.534,23,33,2,0,0,6,1,5,0,58,.966,7,.857,,9,5,34,47,"21,53",0.40,21,53,"35,90",0.39,35,90,"23,55",0.42,23,55,"5,20",0.25,5,20,0,0,0,0,"17,31","14,21","54,99",122,0,0,0,11,0,0,0,12,31,0,,Wittenberg,WITM,0,False,10,1,2,1,1,0,0,0,0,0,15.1,12,10,8,11,0,0,1,5.87,56,69,1,3,0,2,0,0,0,4,.179,20,12,0,"6,16","4,26","3,8",0,"2,15"
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,X. Rodriguez,X.,Rodriguez,,806,X. Rodriguez,0,0WITM,40,40,,,156,53,58,39,14,1,5,25,1,6,18,7,1,2,0,5,0,0,0,4,1,4,0,0.464,89,192,3,.333,.372,.571,324,24,6,0,0,0,0,32,0,354,.983,0,.000,,4,3,30,51,"19,56",0.34,19,56,"34,88",0.39,34,88,"19,55",0.35,19,55,"11,23",0.48,11,23,0,0,0,0,"23,40","14,14","57,103",48,0,0,0,0,0,0,0,13,43,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,R. Royer,R.,Royer,,806,R. Royer,0,0WITM,39,38,,,157,45,50,49,5,0,13,6,0,14,32,10,4,1,1,1,0,0,0,0,0,0,0,0.393,94,179,5,.800,.318,.599,47,0,0,0,0,0,0,0,0,47,1.000,0,.000,,6,5,31,39,"13,49",0.27,13,49,"29,88",0.33,29,88,"22,66",0.33,22,66,"9,26",0.35,9,26,0,0,0,0,"14,29","10,21","49,98",22,0,0,0,"0,1",0,0,1,11,30,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,P. Gryskevic,P.,Gryskevic,,806,P. Gryskevic,0,0WITM,38,37,,,137,35,50,36,10,1,9,21,0,15,29,9,1,0,0,1,0,0,0,1,0,1,0,0.494,89,174,1,1.000,.365,.650,258,13,3,4,2,29,8,2,0,274,.989,37,.784,,4,4,22,31,"22,46",0.48,22,46,"31,69",0.45,31,69,"18,46",0.39,18,46,"7,22",0.32,7,22,0,0,0,0,"12,33","5,10","54,85",3,0,0,0,"1,1",1.00,1,1,6,25,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,A. Nemunaiti,A.,Nemunaiti,,806,A. Nemunaiti,0,0WITM,39,39,,,150,43,52,37,10,1,3,11,0,15,19,6,11,1,3,6,0,0,0,0,3,0,0,0.429,73,185,12,.917,.347,.487,34,73,7,0,0,0,0,4,0,114,.939,0,.000,,5,8,32,50,"16,41",0.39,16,41,"28,72",0.39,28,72,"21,52",0.40,21,52,"7,24",0.29,7,24,0,0,0,0,"15,34","14,20","58,95",59,0,0,0,0,0,0,0,13,28,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,T. Dietz,T.,Dietz,,806,T. Dietz,0,0WITM,35,35,,,140,29,48,33,9,0,8,15,1,4,13,3,3,3,0,3,0,0,0,1,0,1,0,0.414,81,162,6,.500,.343,.579,61,2,2,0,0,0,0,0,0,65,.969,0,.000,,4,5,36,42,"14,54",0.26,14,54,"27,80",0.34,27,80,"19,53",0.36,19,53,"7,23",0.30,7,23,0,0,0,0,"15,29","8,13","46,90",77,0,0,0,0,0,0,0,10,44,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,J. MacAuley,J.,MacAuley,,806,J. MacAuley,0,0WITM,39,39,,,131,28,38,33,8,0,2,18,0,5,19,8,13,0,4,7,0,0,0,2,0,2,0,0.379,52,165,13,1.000,.290,.397,69,118,9,0,0,0,0,25,0,196,.954,0,.000,,5,4,36,44,"14,47",0.30,14,47,"24,75",0.32,24,75,"16,54",0.30,16,54,"11,21",0.52,11,21,0,0,0,0,"12,27","13,17","55,97",43,0,0,0,0,0,0,0,20,37,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,A. Newton,A.,Newton,,806,A. Newton,0,0WITM,21,3,,,12,8,3,3,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0.471,3,17,0,.000,.250,.250,8,0,0,0,0,0,0,0,0,8,1.000,0,.000,,1,0,6,0,"2,6",0.33,2,6,"2,7",0.29,2,7,"2,4",0.50,2,4,0,0,0,0,0,0,0,0,"3,4",0,"5,9",0,0,0,0,23,0,0,0,0,4,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,T. Anthony,T.,Anthony,,806,T. Anthony,0,0WITM,18,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,4,1,0,0,5,1,1,0,6,.833,6,.833,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Wittenberg,WITM,0,False,47,1,4,3,2,0,0,0,0,0,44.2,29,27,9,35,8,2,6,5.44,175,192,1,5,0,2,1,0,1,7,.269,50,43,0,"15,43","24,77","12,35",0,"10,54"
